location_id,sku,sku_name,on_hand,avg_daily_demand,safety_stock,unit,last_updated
LOC-004,SKU-001,Gentle Face Wash,110,26,78,units,2026-03-15
LOC-004,SKU-002,Daily Moisture Lotion,280,16,48,units,2026-03-15
LOC-004,SKU-005,Micellar Cleansing Water,55,11,33,units,2026-03-15
LOC-005,SKU-001,Gentle Face Wash,190,14,42,units,2026-03-15
LOC-005,SKU-003,Repair Shampoo,95,12,36,units,2026-03-15
LOC-005,SKU-004,Nourishing Conditioner,140,10,30,units,2026-03-15
LOC-006,SKU-002,Daily Moisture Lotion,150,24,72,units,2026-03-15
LOC-006,SKU-004,Nourishing Conditioner,85,14,42,units,2026-03-15
LOC-006,SKU-006,Vitamin C Serum,50,10,30,units,2026-03-15
LOC-007,SKU-001,Gentle Face Wash,120,13,39,units,2026-03-15
LOC-007,SKU-005,Micellar Cleansing Water,70,9,27,units,2026-03-15
LOC-007,SKU-006,Vitamin C Serum,180,8,24,units,2026-03-15
LOC-008,SKU-003,Repair Shampoo,70,16,48,units,2026-03-15
LOC-008,SKU-004,Nourishing Conditioner,130,9,27,units,2026-03-15
LOC-008,SKU-005,Micellar Cleansing Water,90,7,21,units,2026-03-15
LOC-009,SKU-001,Gentle Face Wash,95,12,36,units,2026-03-15
LOC-009,SKU-002,Daily Moisture Lotion,160,11,33,units,2026-03-15
LOC-009,SKU-006,Vitamin C Serum,30,7,21,units,2026-03-15
LOC-010,SKU-001,Gentle Face Wash,240,15,45,units,2026-03-15
LOC-010,SKU-003,Repair Shampoo,45,14,42,units,2026-03-15
LOC-010,SKU-005,Micellar Cleansing Water,80,11,33,units,2026-03-15
LOC-011,SKU-002,Daily Moisture Lotion,200,12,36,units,2026-03-15
LOC-011,SKU-005,Micellar Cleansing Water,85,10,30,units,2026-03-15
LOC-011,SKU-006,Vitamin C Serum,90,6,18,units,2026-03-15
LOC-012,SKU-002,Daily Moisture Lotion,180,11,33,units,2026-03-15
LOC-012,SKU-004,Nourishing Conditioner,30,8,24,units,2026-03-15
LOC-012,SKU-005,Micellar Cleansing Water,40,9,27,units,2026-03-15
LOC-013,SKU-001,Gentle Face Wash,140,10,30,units,2026-03-15
LOC-013,SKU-002,Daily Moisture Lotion,130,18,54,units,2026-03-15
LOC-013,SKU-006,Vitamin C Serum,110,7,21,units,2026-03-15
LOC-001,SKU-001,Gentle Face Wash,3300,0,320,units,2026-03-15
LOC-001,SKU-002,Daily Moisture Lotion,2200,0,300,units,2026-03-15
LOC-001,SKU-004,Nourishing Conditioner,1500,0,200,units,2026-03-15
LOC-001,SKU-005,Micellar Cleansing Water,1800,0,140,units,2026-03-15
LOC-001,SKU-006,Vitamin C Serum,950,0,120,units,2026-03-15
LOC-003,SKU-003,Repair Shampoo,1900,0,260,units,2026-03-15
LOC-003,SKU-005,Micellar Cleansing Water,1200,0,160,units,2026-03-15
LOC-003,SKU-006,Vitamin C Serum,800,0,100,units,2026-03-15
